timestamp,local_ms,external_ms
2026-01-02 15:01:04,2.0,41.0
2026-01-02 15:01:05,3.0,43.0
2026-01-02 15:01:06,9.0,40.0
2026-01-02 15:01:07,2.0,41.0
2026-01-02 15:01:08,3.0,44.0
2026-01-02 15:01:09,2.0,46.0
2026-01-02 15:01:10,2.0,43.0
2026-01-02 15:01:11,3.0,44.0
2026-01-02 15:01:12,2.0,45.0
2026-01-02 15:01:13,6.0,44.0
2026-01-02 15:01:15,2.0,44.0
2026-01-02 15:01:16,4.0,49.0
2026-01-02 15:01:17,2.0,43.0
2026-01-02 15:01:18,2.0,43.0
2026-01-02 15:01:19,6.0,44.0
2026-01-02 15:01:20,2.0,43.0
2026-01-02 15:01:21,2.0,43.0
