timestamp,local_ms,external_ms,status_local,status_externo
2026-02-15 13:52:45,2.0,60.0,OK,OK
2026-02-15 13:52:46,2.0,61.0,OK,OK
2026-02-15 13:52:47,3.0,61.0,OK,OK
2026-02-15 13:52:48,2.0,61.0,OK,OK
2026-02-15 13:52:49,63.0,128.0,OK,ALTO
2026-02-15 13:52:51,70.0,87.0,OK,OK
2026-02-15 13:52:52,53.0,79.0,OK,OK
2026-02-15 13:52:53,13.0,193.0,OK,ALTO
2026-02-15 13:52:54,57.0,260.0,OK,ALTO
2026-02-15 13:52:56,104.0,147.0,ALTO,ALTO
2026-02-15 13:52:57,39.0,113.0,OK,ALTO
2026-02-15 13:52:58,3.0,76.0,OK,OK
2026-02-15 13:53:00,16.0,163.0,OK,ALTO
2026-02-15 13:53:01,41.0,88.0,OK,OK
2026-02-15 13:53:02,15.0,122.0,OK,ALTO
2026-02-15 13:53:03,23.0,63.0,OK,OK
2026-02-15 13:53:04,63.0,76.0,OK,OK
2026-02-15 13:53:06,11.0,68.0,OK,OK
2026-02-15 13:53:07,9.0,71.0,OK,OK
2026-02-15 13:53:08,5.0,91.0,OK,OK
2026-02-15 13:53:09,2.0,62.0,OK,OK
2026-02-15 13:53:10,2.0,62.0,OK,OK
2026-02-15 13:53:11,2.0,62.0,OK,OK
2026-02-15 13:53:12,2.0,62.0,OK,OK
2026-02-15 13:53:14,3.0,63.0,OK,OK
2026-02-15 13:53:15,15.0,72.0,OK,OK
2026-02-15 13:53:16,54.0,171.0,OK,ALTO
2026-02-15 13:53:17,2.0,103.0,OK,ALTO
2026-02-15 13:53:19,70.0,62.0,OK,OK
