timestamp,download_mbps,upload_mbps,contrato_down,contrato_up,pct_down,pct_up,status_anatel_medio,status_anatel_instantaneo
2026-02-15 13:53:08,153.02,61.86,500.0,250.0,30.6,24.7,ABAIXO,VIOLAÇÃO
2026-02-15 13:53:19,142.55,57.02,500.0,250.0,28.5,22.8,ABAIXO,VIOLAÇÃO
