timestamp,download_mbps,upload_mbps,contrato_down,contrato_up,pct_down,pct_up,status
2026-01-02 15:41:34,170.87,98.86,500.0,100.0,34.2,98.9,ABAIXO
2026-01-02 15:41:45,89.32,35.73,500.0,100.0,17.9,35.7,ABAIXO
2026-01-02 15:42:54,157.02,108.05,500.0,100.0,31.4,108.0,ABAIXO
2026-01-02 15:45:46,192.31,107.65,500.0,100.0,38.5,107.7,ABAIXO
2026-01-02 15:46:43,189.39,120.31,500.0,100.0,37.9,120.3,ABAIXO
2026-01-02 15:46:54,86.15,34.46,500.0,100.0,17.2,34.5,ABAIXO
2026-01-02 15:48:03,165.43,86.35,500.0,100.0,33.1,86.3,ABAIXO
2026-01-02 15:50:50,192.63,133.49,500.0,100.0,38.5,133.5,ABAIXO
2026-01-02 15:51:47,160.08,105.37,500.0,100.0,32.0,105.4,ABAIXO
2026-01-02 15:51:58,89.88,35.95,500.0,100.0,18.0,36.0,ABAIXO
2026-01-02 15:53:05,189.04,109.44,500.0,100.0,37.8,109.4,ABAIXO
2026-01-02 15:55:52,115.32,98.17,500.0,100.0,23.1,98.2,ABAIXO
2026-01-02 15:56:55,161.22,32.91,500.0,100.0,32.2,32.9,ABAIXO
2026-01-02 15:57:06,82.07,32.83,500.0,100.0,16.4,32.8,ABAIXO
