timestamp,local_ms,external_ms
2026-01-02 08:42:58,6.0,44.0
2026-01-02 08:43:00,1.0,44.0
2026-01-02 08:43:01,1.0,44.0
2026-01-02 08:43:02,35.0,78.0
2026-01-02 08:43:04,53.0,83.0
2026-01-02 08:43:06,63.0,118.0
2026-01-02 08:43:07,56.0,137.0
2026-01-02 08:43:09,132.0,178.0
2026-01-02 08:43:11,86.0,103.0
2026-01-02 08:43:12,11.0,53.0
2026-01-02 08:43:14,27.0,55.0
2026-01-02 08:43:16,19.0,54.0
2026-01-02 08:43:17,14.0,61.0
2026-01-02 08:43:19,2.0,40.0
2026-01-02 08:43:20,1.0,39.0
2026-01-02 08:43:22,2.0,43.0
2026-01-02 08:43:23,26.0,72.0
2026-01-02 08:43:25,44.0,105.0
2026-01-02 08:43:26,51.0,91.0
2026-01-02 08:43:28,69.0,117.0
2026-01-02 08:43:29,43.0,72.0
2026-01-02 08:43:31,82.0,121.0
2026-01-02 08:43:33,7.0,53.0
2026-01-02 08:43:34,17.0,51.0
2026-01-02 08:43:36,10.0,57.0
2026-01-02 08:43:37,16.0,42.0
2026-01-02 08:43:39,3.0,40.0
2026-01-02 08:43:40,1.0,42.0
2026-01-02 08:43:42,2.0,41.0
2026-01-02 08:43:43,31.0,81.0
2026-01-02 08:43:45,58.0,96.0
2026-01-02 08:43:46,95.0,121.0
2026-01-02 08:43:48,102.0,154.0
2026-01-02 08:43:50,102.0,145.0
2026-01-02 08:43:51,111.0,150.0
2026-01-02 08:43:53,16.0,54.0
2026-01-02 08:43:55,11.0,62.0
2026-01-02 08:43:56,27.0,53.0
2026-01-02 08:43:58,17.0,69.0
2026-01-02 08:43:59,1.0,42.0
2026-01-02 08:44:00,2.0,43.0
2026-01-02 08:44:02,5.0,41.0
2026-01-02 08:44:03,55.0,80.0
2026-01-02 08:44:05,40.0,92.0
2026-01-02 08:44:06,56.0,103.0
2026-01-02 08:44:08,73.0,128.0
2026-01-02 08:44:10,114.0,155.0
2026-01-02 08:44:11,64.0,108.0
2026-01-02 08:44:13,8.0,51.0
2026-01-02 08:44:14,31.0,42.0
2026-01-02 08:44:16,19.0,56.0
2026-01-02 08:44:18,12.0,43.0
2026-01-02 08:44:19,1.0,40.0
2026-01-02 08:44:20,1.0,41.0
2026-01-02 08:44:22,1.0,43.0
2026-01-02 08:44:23,49.0,83.0
2026-01-02 08:44:25,48.0,79.0
2026-01-02 08:44:26,72.0,121.0
2026-01-02 08:44:28,142.0,185.0
2026-01-02 08:44:30,86.0,185.0
2026-01-02 08:44:32,92.0,123.0
2026-01-02 08:44:33,29.0,42.0
2026-01-02 08:44:35,20.0,69.0
2026-01-02 08:44:36,15.0,53.0
2026-01-02 08:44:38,11.0,42.0
2026-01-02 08:44:39,1.0,40.0
2026-01-02 08:44:41,1.0,42.0
2026-01-02 08:44:42,2.0,41.0
2026-01-02 08:44:43,40.0,88.0
2026-01-02 08:44:45,60.0,95.0
2026-01-02 08:44:46,62.0,108.0
2026-01-02 08:44:48,99.0,145.0
2026-01-02 08:44:50,75.0,117.0
2026-01-02 08:44:52,121.0,107.0
2026-01-02 08:44:53,9.0,51.0
2026-01-02 08:44:55,15.0,55.0
2026-01-02 08:44:56,22.0,58.0
2026-01-02 08:44:58,14.0,56.0
2026-01-02 08:44:59,1.0,41.0
2026-01-02 08:45:00,2.0,45.0
2026-01-02 08:45:02,2.0,41.0
2026-01-02 08:45:03,21.0,57.0
2026-01-02 08:45:05,8.0,58.0
2026-01-02 08:45:06,27.0,66.0
2026-01-02 08:45:08,22.0,52.0
2026-01-02 08:45:09,33.0,68.0
2026-01-02 08:45:11,26.0,53.0
2026-01-02 08:45:12,34.0,68.0
2026-01-02 08:45:14,22.0,64.0
2026-01-02 08:45:15,18.0,64.0
2026-01-02 08:45:16,8.0,54.0
2026-01-02 08:45:18,2.0,38.0
2026-01-02 08:45:19,1.0,42.0
2026-01-02 08:45:21,1.0,40.0
2026-01-02 08:45:22,2.0,41.0
2026-01-02 08:45:23,45.0,73.0
2026-01-02 08:45:25,71.0,79.0
2026-01-02 08:45:26,105.0,154.0
2026-01-02 08:45:28,111.0,117.0
2026-01-02 08:45:30,100.0,166.0
