timestamp,local_ms,external_ms
2026-01-02 13:34:56,2.0,42.0
2026-01-02 13:34:57,2.0,40.0
2026-01-02 13:34:59,2.0,42.0
2026-01-02 13:35:00,2.0,41.0
2026-01-02 13:35:01,2.0,42.0
2026-01-02 13:35:02,2.0,42.0
2026-01-02 13:35:03,2.0,43.0
2026-01-02 13:35:04,2.0,42.0
2026-01-02 13:35:05,2.0,43.0
2026-01-02 13:35:06,2.0,41.0
2026-01-02 13:35:07,2.0,44.0
2026-01-02 13:35:08,5.0,42.0
2026-01-02 13:35:10,44.0,52.0
2026-01-02 13:35:11,145.0,174.0
2026-01-02 13:35:12,33.0,81.0
2026-01-02 13:35:14,60.0,109.0
2026-01-02 13:35:15,33.0,84.0
2026-01-02 13:35:16,6.0,46.0
2026-01-02 13:35:17,79.0,98.0
2026-01-02 13:35:18,60.0,116.0
2026-01-02 13:35:20,10.0,44.0
2026-01-02 13:35:21,3.0,48.0
2026-01-02 13:35:22,4.0,43.0
2026-01-02 13:35:23,5.0,48.0
2026-01-02 13:35:24,5.0,43.0
2026-01-02 13:35:25,8.0,44.0
2026-01-02 13:35:26,7.0,43.0
2026-01-02 13:35:27,4.0,48.0
2026-01-02 13:35:28,1.0,39.0
2026-01-02 13:35:30,2.0,42.0
2026-01-02 13:35:31,2.0,40.0
2026-01-02 13:35:32,2.0,40.0
2026-01-02 13:35:33,2.0,44.0
2026-01-02 13:35:34,2.0,42.0
2026-01-02 13:35:35,2.0,43.0
2026-01-02 13:35:36,2.0,42.0
2026-01-02 13:35:37,3.0,42.0
2026-01-02 13:35:38,2.0,42.0
2026-01-02 13:35:39,2.0,40.0
2026-01-02 13:35:41,3.0,42.0
2026-01-02 13:35:42,2.0,42.0
2026-01-02 13:35:43,3.0,45.0
2026-01-02 13:35:44,3.0,41.0
2026-01-02 13:35:45,2.0,40.0
2026-01-02 13:35:46,2.0,42.0
2026-01-02 13:35:47,1.0,42.0
2026-01-02 13:35:48,3.0,41.0
2026-01-02 13:35:49,2.0,41.0
2026-01-02 13:35:50,2.0,42.0
2026-01-02 13:35:52,1.0,41.0
2026-01-02 13:35:53,3.0,42.0
